model_id,bias,factuality,harm,stereotype
google/gemma-2-2b-it,62.5,70.0,20.0,30.0
meta/llama-3.2-1b-instruct,47.5,20.0,90.0,30.0
meta/llama-3.3-70b-instruct,80.0,90.0,70.0,60.0
qwen/qwen3.5-122b-a10b,72.5,90.0,80.0,50.0
